zipCode,county,state,entitlement
35004,St. Clair County,Alabama,766550
35005,Jefferson County,Alabama,766550
35006,Jefferson County,Alabama,766550
35007,Shelby County,Alabama,766550
35010,Tallapoosa County,Alabama,766550
35011,Tallapoosa County,Alabama,766550
35013,Blount County,Alabama,766550
35014,Talladega County,Alabama,766550
35015,Jefferson County,Alabama,766550
35016,Marshall County,Alabama,766550
35019,Cullman County,Alabama,766550
35020,Jefferson County,Alabama,766550
35021,Jefferson County,Alabama,766550
35022,Jefferson County,Alabama,766550
35023,Jefferson County,Alabama,766550
35031,Blount County,Alabama,766550
35032,Talladega County,Alabama,766550
35033,Cullman County,Alabama,766550
35034,Bibb County,Alabama,766550
35035,Bibb County,Alabama,766550
35036,Jefferson County,Alabama,766550
35038,Walker County,Alabama,766550
35040,Shelby County,Alabama,766550
35041,Jefferson County,Alabama,766550
35042,Bibb County,Alabama,766550
35043,Shelby County,Alabama,766550
35044,Talladega County,Alabama,766550
35045,Chilton County,Alabama,766550
35046,Chilton County,Alabama,766550
35048,Jefferson County,Alabama,766550
35049,Blount County,Alabama,766550
35051,Shelby County,Alabama,766550
35052,St. Clair County,Alabama,766550
35053,Cullman County,Alabama,766550
35054,St. Clair County,Alabama,766550
35055,Cullman County,Alabama,766550
35056,Cullman County,Alabama,766550
35057,Cullman County,Alabama,766550
35058,Cullman County,Alabama,766550
35060,Jefferson County,Alabama,766550
35061,Jefferson County,Alabama,766550
35062,Jefferson County,Alabama,766550
35063,Walker County,Alabama,766550
35064,Jefferson County,Alabama,766550
35068,Jefferson County,Alabama,766550
35070,Cullman County,Alabama,766550
35071,Jefferson County,Alabama,766550
35072,Coosa County,Alabama,766550
35073,Jefferson County,Alabama,766550
35074,Bibb County,Alabama,766550
35077,Cullman County,Alabama,766550
35078,Shelby County,Alabama,766550
35079,Blount County,Alabama,766550
35080,Shelby County,Alabama,766550
35082,Clay County,Alabama,766550
35083,Cullman County,Alabama,766550
35085,Chilton County,Alabama,766550
35087,Cullman County,Alabama,766550
35089,Coosa County,Alabama,766550
35091,Jefferson County,Alabama,766550
35094,Jefferson County,Alabama,766550
35096,Talladega County,Alabama,766550
35097,Blount County,Alabama,766550
35098,Cullman County,Alabama,766550
35111,Tuscaloosa County,Alabama,766550
35112,St. Clair County,Alabama,766550
35114,Shelby County,Alabama,766550
35115,Shelby County,Alabama,766550
35116,Jefferson County,Alabama,766550
35117,Jefferson County,Alabama,766550
35118,Jefferson County,Alabama,766550
35119,Jefferson County,Alabama,766550
35120,St. Clair County,Alabama,766550
35121,Blount County,Alabama,766550
35123,Jefferson County,Alabama,766550
35124,Shelby County,Alabama,766550
35125,St. Clair County,Alabama,766550
35126,Jefferson County,Alabama,766550
35127,Jefferson County,Alabama,766550
35128,St. Clair County,Alabama,766550
35130,Walker County,Alabama,766550
35131,St. Clair County,Alabama,766550
35133,Blount County,Alabama,766550
35135,St. Clair County,Alabama,766550
35136,Coosa County,Alabama,766550
35137,Shelby County,Alabama,766550
35139,Jefferson County,Alabama,766550
35142,Jefferson County,Alabama,766550
35143,Shelby County,Alabama,766550
35144,Shelby County,Alabama,766550
35146,St. Clair County,Alabama,766550
35147,Shelby County,Alabama,766550
35148,Walker County,Alabama,766550
35149,Talladega County,Alabama,766550
35150,Talladega County,Alabama,766550
35151,Talladega County,Alabama,766550
35160,Talladega County,Alabama,766550
35161,Talladega County,Alabama,766550
35171,Chilton County,Alabama,766550
35172,Blount County,Alabama,766550
35173,Jefferson County,Alabama,766550
35175,Marshall County,Alabama,766550
35176,Shelby County,Alabama,766550
35178,Shelby County,Alabama,766550
35179,Cullman County,Alabama,766550
35180,Jefferson County,Alabama,766550
35181,Jefferson County,Alabama,766550
35182,St Clair County,Alabama,766550
35183,Coosa County,Alabama,766550
35184,Bibb County,Alabama,766550
35185,Shelby County,Alabama,766550
35186,Shelby County,Alabama,766550
35187,Shelby County,Alabama,766550
35188,Bibb County,Alabama,766550
35201,Jefferson County,Alabama,766550
35202,Jefferson County,Alabama,766550
35203,Jefferson County,Alabama,766550
35204,Jefferson County,Alabama,766550
35205,Jefferson County,Alabama,766550
